id,Q1,Q1distribution_guess1,Q1distribution_guess2,Q1distribution_guess3,Q1distribution_guess4,Q1distribution_guess5
31,5,0,20,20,40,20
32,1,10,45,35,10,0
33,3,5,10,35,40,10
34,1,40,51,5,3,1
44,3,5,15,60,15,5
46,2,15,50,15,5,15
52,4,1,24,40,34,1
53,3,0,10,70,20,0
60,2,5,50,30,10,5
62,2,5,30,35,30,0
63,3,5,28,62,3,2
70,2,15,25,45,10,5
71,3,5,25,50,10,10
72,2,0,60,35,5,0
73,3,2,30,50,16,2
76,4,0,20,50,25,5
81,1,20,75,5,0,0
84,3,10,30,50,10,0
94,2,35,45,20,0,0
98,2,5,25,50,15,5
105,1,10,20,50,20,0
109,2,10,45,25,10,10
110,3,2,20,40,30,8
112,2,5,40,35,20,0
117,2,20,40,20,5,15
119,2,8,80,10,0,2
126,2,9,90,1,0,0
131,5,50,25,15,5,5
135,2,10,60,20,5,5
139,2,10,30,40,10,10
144,2,10,50,30,7,3
145,5,10,30,40,5,15
155,2,10,50,25,10,5
157,2,20,50,20,10,0
162,3,2,45,45,0,8
175,2,5,45,40,10,0
176,2,20,40,15,20,5
180,2,5,65,10,15,5
182,2,15,55,20,5,5
186,2,5,45,45,5,0
187,2,10,80,10,0,0
195,2,15,40,30,2,13
202,3,15,25,45,10,5
210,3,2,20,70,8,0
212,3,0,25,50,25,0
221,2,20,35,20,10,15
226,5,10,20,30,30,10
227,2,5,50,30,10,5
235,3,5,20,60,10,5
238,4,0,5,65,25,5
245,2,10,50,20,10,10
251,2,0,35,55,10,0
269,3,5,30,60,5,0
270,1,50,25,15,10,0
271,2,25,50,25,0,0
276,2,10,50,25,10,5
282,2,5,60,30,5,0
286,3,0,0,60,40,0
289,1,10,40,40,5,5
295,2,2,90,8,0,0
297,2,5,95,0,0,0
314,2,10,40,40,10,0
317,2,5,25,65,5,0
323,3,5,35,40,15,5
324,5,0,5,15,30,50
325,2,30,50,20,0,0
326,3,4,35,52,8,1
327,3,5,30,60,5,0
328,2,10,15,50,25,0
329,2,5,55,35,5,0
330,4,4,20,40,30,6
331,2,0,60,40,0,0
333,2,10,30,40,20,0
336,2,10,40,40,10,0
346,4,14,50,30,5,1
348,3,0,20,50,20,10
363,4,5,25,40,10,20
381,3,1,30,50,18,1
383,4,10,30,10,40,10
384,5,0,15,45,25,15
386,5,25,50,10,10,5
390,2,5,40,35,15,5
392,2,20,50,20,5,5
399,3,0,25,40,30,5
402,5,2,6,40,30,22
405,2,2,30,50,16,2
406,3,0,7,45,40,8
407,1,40,35,15,5,5
409,2,10,80,10,0,0
411,2,5,60,23,10,2
412,2,0,40,60,0,0
413,,,,,,
417,2,10,45,25,10,10
418,3,0,20,70,10,0
419,2,30,60,10,0,0
420,3,3,15,35,45,2
23,,,,,,
28,,,,,,
30,,,,,,
35,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
42,,,,,,
45,,,,,,
47,,,,,,
48,,,,,,
50,,,,,,
54,,,,,,
57,,,,,,
59,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
68,,,,,,
69,,,,,,
74,,,,,,
77,,,,,,
79,,,,,,
82,,,,,,
83,,,,,,
93,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
99,,,,,,
101,,,,,,
103,,,,,,
104,,,,,,
111,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
118,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
124,,,,,,
125,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
137,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
156,,,,,,
158,,,,,,
160,,,,,,
161,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
168,,,,,,
169,,,,,,
172,,,,,,
174,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
194,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
203,,,,,,
204,,,,,,
207,,,,,,
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
224,,,,,,
228,,,,,,
231,,,,,,
232,,,,,,
233,,,,,,
236,,,,,,
237,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
246,,,,,,
247,,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
252,,,,,,
254,,,,,,
255,,,,,,
257,,,,,,
258,,,,,,
261,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
267,,,,,,
268,,,,,,
275,,,,,,
277,,,,,,
280,,,,,,
281,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
287,,,,,,
288,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
298,,,,,,
300,,,,,,
301,,,,,,
303,,,,,,
305,,,,,,
306,,,,,,
308,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
316,,,,,,
320,,,,,,
322,,,,,,
349,,,,,,
353,,,,,,
371,,,,,,
403,,,,,,
404,,,,,,
410,,,,,,
414,,,,,,
415,,,,,,
416,,,,,,
